Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
Q96BS2,CHP3_HUMAN,TESC CHP3,Calcineurin B homologous protein 3 (Tescalcin) (TSC),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18321853}. Cytoplasm {ECO:0000269|PubMed:18321853}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:18321853}. Cell projection, lamellipodium {ECO:0000269|PubMed:11696366}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q9JKL5}. Note=Colocalizes with SLC9A1 at the plasma membrane. {ECO:0000269|PubMed:18321853}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; ruffle membrane [GO:0032587],GO:0000287; GO:0001726; GO:0004860; GO:0005509; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0008285; GO:0008584; GO:0010628; GO:0015031; GO:0019212; GO:0030027; GO:0030219; GO:0030854; GO:0032417; GO:0032587; GO:0033628; GO:0042803; GO:0045654; GO:0045893; GO:0050821; GO:0051604; GO:0071300; GO:0072659,ENST00000335209.12 [Q96BS2-1];ENST00000470612.5 [Q96BS2-2];ENST00000541210.5 [Q96BS2-3];
Q9Y5X3,SNX5_HUMAN,SNX5,Sorting nexin-5,Homo sapiens (Human),"SUBCELLULAR LOCATION: Endosome {ECO:0000269|PubMed:11485546}. Early endosome {ECO:0000269|PubMed:17148574, ECO:0000269|PubMed:24610942}. Early endosome membrane {ECO:0000269|PubMed:15561769}; Peripheral membrane protein; Cytoplasmic side. Cell membrane {ECO:0000269|PubMed:15561769}; Peripheral membrane protein; Cytoplasmic side {ECO:0000269|PubMed:18854019}. Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm. Cell projection, phagocytic cup. Cell projection, ruffle. Note=Recruited to the plasma membrane after EGF stimulation, which leads to increased levels of phosphatidylinositol 3,4-bisphosphate (PdtIns(3,4)P2) (PubMed:15561769). Detected on macropinosomes (PubMed:16968745, PubMed:21048941). Targeted to membrane ruffles in response to EGFR stimulation. {ECO:0000269|PubMed:15561769, ECO:0000269|PubMed:16968745, ECO:0000269|PubMed:21048941}.","brush border [GO:0005903]; cytoplasmic side of early endosome membrane [GO:0098559]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; macropinocytic cup [GO:0070685]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; retromer complex [GO:0030904]; retromer, tubulation complex [GO:0030905]; ruffle [GO:0001726]; tubular endosome [GO:0097422]",GO:0001726; GO:0001891; GO:0005768; GO:0005829; GO:0005903; GO:0006886; GO:0006907; GO:0007174; GO:0009898; GO:0010314; GO:0016241; GO:0030904; GO:0030905; GO:0031748; GO:0034452; GO:0035091; GO:0042147; GO:0043231; GO:0045296; GO:0045776; GO:0045893; GO:0046628; GO:0048471; GO:0070273; GO:0070685; GO:0080025; GO:0097422; GO:0098559,ENST00000377759.9 [Q9Y5X3-1];ENST00000377768.7 [Q9Y5X3-1];ENST00000606557.1 [Q9Y5X3-2];
Q9H4G0,E41L1_HUMAN,EPB41L1 KIAA0338,Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",cytoskeleton [GO:0005856]; cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0003779; GO:0005198; GO:0005829; GO:0005856; GO:0005886; GO:0030866; GO:0031032,ENST00000202028.9 [Q9H4G0-2];ENST00000338074.7 [Q9H4G0-1];ENST00000373950.6 [Q9H4G0-3];ENST00000441639.5 [Q9H4G0-2];ENST00000628415.2 [Q9H4G0-4];
O95467,GNAS3_HUMAN,GNAS GNAS1,Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide],Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Secreted {ECO:0000250}. Note=Neuroendocrine secretory granules. {ECO:0000250}.",cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; transport vesicle [GO:0030133],GO:0005576; GO:0005634; GO:0005737; GO:0007565; GO:0009306; GO:0030133; GO:0040015; GO:0048471; GO:0071107; GO:0120162,ENST00000313949.11 [O95467-1];ENST00000371075.7 [O95467-1];ENST00000371098.6 [O95467-1];ENST00000419558.7 [O95467-1];ENST00000453292.7 [O95467-1];
P63092,GNAS2_HUMAN,GNAS GNAS1 GSP,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein),Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P63094}; Lipid-anchor {ECO:0000250|UniProtKB:P63094}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; heterotrimeric G-protein complex [GO:0005834]; membrane [GO:0016020]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588],GO:0002862; GO:0003091; GO:0003924; GO:0003925; GO:0005525; GO:0005737; GO:0005829; GO:0005834; GO:0005886; GO:0007186; GO:0007189; GO:0007190; GO:0007191; GO:0007608; GO:0010856; GO:0016020; GO:0031683; GO:0031748; GO:0032588; GO:0046872; GO:0046907; GO:0048589; GO:0050796; GO:0050890; GO:0060348; GO:0060789; GO:0070062; GO:0070527; GO:0071377; GO:0071380; GO:0071870; GO:0071880; GO:0097700; GO:0120162,ENST00000265620.11 [P63092-3];ENST00000354359.12 [P63092-4];ENST00000371085.8 [P63092-1];ENST00000371095.7 [P63092-2];
O00429,DNM1L_HUMAN,DNM1L DLP1 DRP1,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:12618434, ECO:0000269|PubMed:9786947}. Golgi apparatus {ECO:0000269|PubMed:20688057, ECO:0000269|PubMed:9348079, ECO:0000269|PubMed:9570752}. Endomembrane system {ECO:0000269|PubMed:11514614, ECO:0000269|PubMed:9348079, ECO:0000269|PubMed:9472031, ECO:0000269|PubMed:9570752}; Peripheral membrane protein. Mitochondrion outer membrane {ECO:0000269|PubMed:26122121, ECO:0000269|PubMed:27145208, ECO:0000269|PubMed:27145933, ECO:0000269|PubMed:28969390}; Peripheral membrane protein. Peroxisome {ECO:0000269|PubMed:12499366, ECO:0000269|PubMed:12618434}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:O35303}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250|UniProtKB:O35303}. Note=Mainly cytosolic. Recruited by RALA and RALBP1 to mitochondrion during mitosis (PubMed:21822277). Translocated to the mitochondrial membrane through O-GlcNAcylation and interaction with FIS1. Colocalized with MARCHF5 at mitochondrial membrane (PubMed:17606867). Localizes to mitochondria at sites of division (PubMed:15208300). Localizes to mitochondria following necrosis induction. Recruited to the mitochondrial outer membrane by interaction with MIEF1. Mitochondrial recruitment is inhibited by C11orf65/MFI (By similarity). Associated with peroxisomal membranes, partly recruited there by PEX11B. May also be associated with endoplasmic reticulum tubules and cytoplasmic vesicles and found to be perinuclear (PubMed:9422767, PubMed:9570752). In some cell types, localizes to the Golgi complex (By similarity). Binds to phospholipid membranes (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q8K1M6, ECO:0000269|PubMed:15208300, ECO:0000269|PubMed:17606867, ECO:0000269|PubMed:21822277, ECO:0000269|PubMed:9422767, ECO:0000269|PubMed:9570752}.",brush border [GO:0005903]; clathrin-coated pit [GO:0005905]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]; synaptic vesicle membrane [GO:0030672],GO:0000266; GO:0003924; GO:0005096; GO:0005525; GO:0005737; GO:0005739; GO:0005741; GO:0005777; GO:0005783; GO:0005789; GO:0005794; GO:0005829; GO:0005874; GO:0005903; GO:0005905; GO:0006816; GO:0006897; GO:0007005; GO:0008017; GO:0008289; GO:0010468; GO:0016020; GO:0016559; GO:0030672; GO:0030742; GO:0031267; GO:0031625; GO:0032991; GO:0042802; GO:0042803; GO:0043231; GO:0043653; GO:0048312; GO:0048471; GO:0048511; GO:0050714; GO:0051259; GO:0060047; GO:0070585; GO:0090023; GO:0090141; GO:0090149; GO:0160040; GO:1900063; GO:1901524; GO:1903578,ENST00000266481.10 [O00429-4];ENST00000358214.9 [O00429-9];ENST00000381000.8 [O00429-8];ENST00000452533.6 [O00429-3];ENST00000547312.5 [O00429-2];ENST00000549701.6 [O00429-1];ENST00000553257.6 [O00429-6];
P84996,ALEX_HUMAN,GNAS GNAS1,Protein ALEX (Alternative gene product encoded by XL-exon),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cell projection, ruffle {ECO:0000250}. Note=Predominantly associated with cell membrane ruffles. {ECO:0000250}.",cytosol [GO:0005829]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ruffle [GO:0001726],GO:0001726; GO:0005829; GO:0005886; GO:0007189; GO:0009966; GO:0016020; GO:0048589; GO:0050890; GO:0060348; GO:0060789; GO:0070527; GO:0120162,
Q5JWF2,GNAS1_HUMAN,GNAS GNAS1,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas),Homo sapiens (Human),SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27120771}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q63803}. Apical cell membrane {ECO:0000269|PubMed:27120771}.,apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; heterotrimeric G-protein complex [GO:0005834]; membrane [GO:0016020],GO:0003924; GO:0003925; GO:0005159; GO:0005525; GO:0005737; GO:0005829; GO:0005834; GO:0007189; GO:0007191; GO:0007192; GO:0007606; GO:0010854; GO:0010856; GO:0016020; GO:0016324; GO:0031683; GO:0031698; GO:0031748; GO:0031852; GO:0034695; GO:0035255; GO:0046872; GO:0048589; GO:0051430; GO:0060348; GO:0070062; GO:0070527; GO:0120162,ENST00000371100.9 [Q5JWF2-1];ENST00000371102.8 [Q5JWF2-2];ENST00000481768.6 [Q5JWF2-3];
O60299,LZTS3_HUMAN,LZTS3 KIAA0552 PROSAPIP1,Leucine zipper putative tumor suppressor 3 (ProSAP-interacting protein 1) (ProSAPiP1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Synapse {ECO:0000250|UniProtKB:Q8K1Q4}. Postsynaptic density {ECO:0000250|UniProtKB:Q8K1Q4}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q8K1Q4}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q8K1Q4}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8K1Q4}. Note=Rather found at excitatory than inhibitory synapses. {ECO:0000250|UniProtKB:Q8K1Q4}.",cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendritic spine [GO:0043197]; postsynaptic density [GO:0014069]; synapse [GO:0045202],GO:0005737; GO:0005856; GO:0014069; GO:0043197; GO:0045202; GO:0061001,ENST00000329152.7 [O60299-1];ENST00000337576.7 [O60299-1];ENST00000360342.7 [O60299-2];ENST00000645462.1 [O60299-2];
O95455,TGDS_HUMAN,TGDS,"dTDP-D-glucose 4,6-dehydratase (EC 4.2.1.46)",Homo sapiens (Human),,,GO:0008460; GO:0009225,ENST00000261296.7;
Q9NUG6,PDRG1_HUMAN,PDRG1 C20orf126 PDRG,p53 and DNA damage-regulated protein 1,Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,cytoplasm [GO:0005737]; prefoldin complex [GO:0016272]; protein folding chaperone complex [GO:0101031]; RPAP3/R2TP/prefoldin-like complex [GO:1990062],GO:0005737; GO:0006457; GO:0016272; GO:0050821; GO:0051082; GO:0101031; GO:1990062,ENST00000202017.6;
Q9H501,ESF1_HUMAN,ESF1 ABTAP C20orf6 HDCMC28P,ESF1 homolog (ABT1-associated protein),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000250}.",extracellular space [GO:0005615]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654],GO:0003723; GO:0005615; GO:0005654; GO:0005730; GO:0006364,ENST00000202816.5;ENST00000617257.2;
Q9H7C9,AAMDC_HUMAN,AAMDC C11orf67 PTD015,Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Diffuse distribution with some highly concentrated spots around the nucleus. {ECO:0000250}.,cytoplasm [GO:0005737],GO:0005737; GO:0006366; GO:0043066; GO:0045600; GO:0045944,ENST00000393427.7 [Q9H7C9-1];ENST00000525034.1 [Q9H7C9-1];ENST00000526415.5 [Q9H7C9-1];ENST00000532481.5 [Q9H7C9-3];
Q8WWA1,TMM40_HUMAN,TMEM40,Transmembrane protein 40,Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000269|Ref.6}; Multi-pass membrane protein {ECO:0000269|Ref.6}.,membrane [GO:0016020],GO:0016020,ENST00000264728.8 [Q8WWA1-1];ENST00000314124.12 [Q8WWA1-1];ENST00000435218.6 [Q8WWA1-2];ENST00000435575.5 [Q8WWA1-3];
Q5TEA3,DAAF9_HUMAN,DNAAF9 C20orf194,Dynein axonemal assembly factor 9 (DNAAF9),Homo sapiens (Human),,,,ENST00000252032.10;
B2CQT6,B2CQT6_HUMAN,,"Solute carrier family 15 member 1 (Intestinal H(+)/peptide cotransporter) (Oligopeptide transporter, small intestine isoform) (Peptide transporter 1)",Homo sapiens (Human),SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000256|ARBA:ARBA00004424}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004424}. Membrane {ECO:0000256|RuleBase:RU003755}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU003755}.,apical plasma membrane [GO:0016324]; brush border [GO:0005903],GO:0005427; GO:0005903; GO:0015031; GO:0015333; GO:0016324; GO:0071916; GO:0140206,
Q5QPD4,Q5QPD4_HUMAN,AURKA,non-specific serine/threonine protein kinase (EC 2.7.11.1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000256|ARBA:ARBA00004186}.",centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654],GO:0004674; GO:0005524; GO:0005654; GO:0005813; GO:0005829; GO:0036064; GO:0051301; GO:0072686,ENST00000441357.5;
A3KFJ0,A3KFJ0_HUMAN,AURKA,non-specific serine/threonine protein kinase (EC 2.7.11.1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000256|ARBA:ARBA00004186}.",centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654],GO:0004674; GO:0005524; GO:0005654; GO:0005813; GO:0005829; GO:0036064; GO:0051301; GO:0072686,ENST00000395907.5;
F8VZ52,F8VZ52_HUMAN,DNM1L,Dynamin-1-like protein (EC 3.6.5.5) (Dynamin-like protein),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000256|ARBA:ARBA00004514}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000256|ARBA:ARBA00004432}. Endomembrane system {ECO:0000256|ARBA:ARBA00004184}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004184}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane, clathrin-coated pit {ECO:0000256|ARBA:ARBA00004600}. Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004450}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004450}. Peroxisome {ECO:0000256|ARBA:ARBA00004275}.",clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial outer membrane [GO:0005741]; peroxisome [GO:0005777]; synaptic vesicle membrane [GO:0030672],GO:0003924; GO:0005525; GO:0005741; GO:0005777; GO:0005794; GO:0005829; GO:0005905; GO:0008289; GO:0030672; GO:0043231; GO:0048511,ENST00000548750.6;
Q9UK00,CC018_HUMAN,C3orf18,Uncharacterized protein C3orf18 (Protein G20),Homo sapiens (Human),SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,membrane [GO:0016020],GO:0016020,ENST00000357203.8 [Q9UK00-1];ENST00000426034.5 [Q9UK00-1];ENST00000441239.5 [Q9UK00-2];ENST00000449241.5 [Q9UK00-1];
F8VPA6,F8VPA6_HUMAN,ERGIC2,Endoplasmic reticulum-Golgi intermediate compartment protein,Homo sapiens (Human),"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|ARBA:ARBA00004457, ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004457, ECO:0000256|RuleBase:RU369013}. Golgi apparatus membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}.",endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730],GO:0000139; GO:0005730; GO:0005789; GO:0005794; GO:0006888; GO:0033116; GO:0043231,ENST00000546839.5;
Q6FGH9,Q6FGH9_HUMAN,DNCL1 DYNLL1 hCG_27767,Dynein light chain,Homo sapiens (Human),"SUBCELLULAR LOCATION: Chromosome {ECO:0000256|ARBA:ARBA00004286}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}. Mitochondrion {ECO:0000256|ARBA:ARBA00004173}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.",axon cytoplasm [GO:1904115]; centrosome [GO:0005813]; chromosome [GO:0005694]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; secretory granule [GO:0030141],GO:0005634; GO:0005694; GO:0005739; GO:0005813; GO:0005868; GO:0005874; GO:0006915; GO:0006974; GO:0007017; GO:0007286; GO:0019899; GO:0030141; GO:0035774; GO:0036487; GO:0042802; GO:0044877; GO:0045019; GO:0097110; GO:1904115,
Q5QPD2,Q5QPD2_HUMAN,AURKA,non-specific serine/threonine protein kinase (EC 2.7.11.1),Homo sapiens (Human),,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654],GO:0004674; GO:0005524; GO:0005654; GO:0005813; GO:0005829; GO:0036064; GO:0072686,ENST00000422322.5;
Q643R0,Q643R0_HUMAN,HCTP4 TPX2 hCG_38821,"HCTP4 (TPX2, microtubule-associated, homolog (Xenopus laevis), isoform CRA_b) (cDNA, FLJ92922)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle pole {ECO:0000256|ARBA:ARBA00004647}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.",axon hillock [GO:0043203]; cytoplasm [GO:0005737]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; spindle pole [GO:0000922],GO:0000922; GO:0005654; GO:0005737; GO:0005874; GO:0019901; GO:0043203; GO:0045171; GO:0051301; GO:0060236; GO:0061676; GO:0072686; GO:0090307,
F5GZD9,F5GZD9_HUMAN,PTHLH,Parathyroid hormone-related protein (PTH-rP) (PTHrP) [Cleaved into: Osteostatin],Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU368098}. Nucleus {ECO:0000256|RuleBase:RU368098}. Secreted {ECO:0000256|RuleBase:RU368098}.,cytosol [GO:0005829]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654],GO:0005179; GO:0005576; GO:0005654; GO:0005794; GO:0005829; GO:0030282; GO:0051428,ENST00000542963.1;
A3KFJ1,A3KFJ1_HUMAN,AURKA,non-specific serine/threonine protein kinase (EC 2.7.11.1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000256|ARBA:ARBA00004186}.",centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654],GO:0004674; GO:0005524; GO:0005654; GO:0005813; GO:0005829; GO:0036064; GO:0051301; GO:0072686,ENST00000420474.5;
F8W0R1,F8W0R1_HUMAN,ERGIC2,Endoplasmic reticulum-Golgi intermediate compartment protein,Homo sapiens (Human),SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}. Golgi apparatus membrane {ECO:0000256|RuleBase:RU369013}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369013}.,endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730],GO:0000139; GO:0005730; GO:0005789; GO:0005794; GO:0006888; GO:0033116; GO:0043231,ENST00000550353.5;
A0A994J3M8,A0A994J3M8_HUMAN,DNM1L,Dynamin-1-like protein (EC 3.6.5.5) (Dynamin-like protein),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000256|ARBA:ARBA00004514}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000256|ARBA:ARBA00004432}. Endomembrane system {ECO:0000256|ARBA:ARBA00004184}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004184}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane, clathrin-coated pit {ECO:0000256|ARBA:ARBA00004600}. Mitochondrion outer membrane {ECO:0000256|ARBA:ARBA00004450}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004450}. Peroxisome {ECO:0000256|ARBA:ARBA00004275}.",clathrin-coated pit [GO:0005905]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrial outer membrane [GO:0005741]; peroxisome [GO:0005777]; synaptic vesicle membrane [GO:0030672],GO:0003924; GO:0005525; GO:0005741; GO:0005777; GO:0005794; GO:0005829; GO:0005905; GO:0008289; GO:0030672; GO:0048511,ENST00000703369.1;
